Código,Modelo,Fecha de registro,Fecha Asignado,Fecha Reasignado,Estado,Localización,Fecha de 1era Respuesta,Fecha firma solución,Fecha firma cierre,Tipo
REQ 2021-030941,MXB450P,13/12/21 13:58,13/12/21 14:03,,Cerrada,/SCJN/16 de Septiembre,13/12/21 14:34,13/12/21 14:33,16/12/21 14:37,SCJ
REQ 2021-030906,MXB450P,13/12/21 12:31,13/12/21 12:32,13/12/21 12:34,Cerrada,/SCJN/Edificio Sede,13/12/21 13:12,13/12/21 13:12,16/12/21 13:17,SCJ
REQ 2021-030890,MXB450P,13/12/21 12:05,13/12/21 12:07,,Cerrada,/SCJN/16 de Septiembre,13/12/21 12:45,13/12/21 12:45,16/12/21 12:47,SCJ
REQ 2021-030887,MXB450P,13/12/21 12:03,13/12/21 12:05,13/12/21 12:05,Cerrada,/SCJN/5 de Febrero,13/12/21 12:05,13/12/21 14:12,16/12/21 14:12,SCJ
INC 2021-030877,MXB450P,13/12/21 11:50,13/12/21 11:53,,Cerrada,/SCJN/Edificio Sede,13/12/21 13:13,13/12/21 13:13,16/12/21 13:17,SCJ
REQ 2021-030876,MXB450P,13/12/21 11:46,13/12/21 11:49,,Cerrada,/SCJN/Edificio Sede,13/12/21 11:49,13/12/21 15:18,16/12/21 15:22,SCJ
INC 2021-030845,MXB450P,13/12/21 10:43,13/12/21 10:44,,Cerrada,/SCJN/Edificio Sede,13/12/21 11:33,13/12/21 11:33,16/12/21 11:37,SCJ
REQ 2021-030837,MXB450P,13/12/21 10:27,13/12/21 10:29,,Cerrada,/SCJN/Edificio Sede,13/12/21 11:13,13/12/21 11:13,16/12/21 11:17,SCJ
INC 2021-030832,MXB450P,13/12/21 10:11,13/12/21 10:13,,Cerrada,/SCJN/16 de Septiembre,13/12/21 10:25,13/12/21 10:25,16/12/21 10:27,SCJ
INC 2021-030821,MXM5071,13/12/21 9:50,13/12/21 9:53,,Cerrada,/SCJN/Edificio Sede,13/12/21 10:32,13/12/21 10:32,16/12/21 10:32,SCJ
REQ 2021-030822,MXB450P,13/12/21 9:47,13/12/21 9:52,,Cerrada,/SCJN/Edificio Sede,13/12/21 11:35,13/12/21 11:35,16/12/21 11:37,SCJ
REQ 2021-030796,MXB450P,13/12/21 8:20,13/12/21 8:21,,Cerrada,/SCJN/Edificio Sede,13/12/21 9:46,13/12/21 9:46,16/12/21 9:47,SCJ
REQ 2021-030705,MXB450P,10/12/21 13:10,10/12/21 13:18,,Cerrada,/SCJN/5 de Febrero,10/12/21 13:20,10/12/21 13:20,13/12/21 13:25,SCJ
REQ 2021-030685,MXB450P,10/12/21 11:55,10/12/21 11:57,,Cerrada,/SCJN/Edificio Sede,10/12/21 12:59,10/12/21 12:59,13/12/21 13:03,SCJ
REQ 2021-030683,MXB450P,10/12/21 11:49,10/12/21 11:51,10/12/21 12:55,Cerrada,/SCJN/16 de Septiembre,10/12/21 12:57,10/12/21 12:57,13/12/21 12:57,SCJ
REQ 2021-030680,MXB450P,10/12/21 11:26,10/12/21 11:28,,Cerrada,/SCJN/Edificio Sede,10/12/21 12:18,10/12/21 12:18,13/12/21 12:22,SCJ
REQ 2021-030674,MXB450P,10/12/21 11:20,10/12/21 11:22,,Cerrada,/SCJN/5 de Febrero,10/12/21 13:21,10/12/21 13:21,13/12/21 13:26,SCJ
REQ 2021-030659,MXB450P,10/12/21 10:33,10/12/21 10:34,,Cerrada,/SCJN/16 de Septiembre,10/12/21 10:52,10/12/21 10:52,13/12/21 10:57,SCJ
INC 2021-030635,MXB450P,10/12/21 8:59,10/12/21 9:00,,Cerrada,/SCJN/Edificio Sede,10/12/21 9:33,10/12/21 9:33,13/12/21 9:37,SCJ
INC 2021-030595,MXB450P,09/12/21 16:41,09/12/21 16:43,,Cerrada,/SCJN/Edificio Sede,09/12/21 16:46,13/12/21 11:19,16/12/21 11:22,SCJ
REQ 2021-030593,MXB450P,09/12/21 16:33,09/12/21 16:35,,Cerrada,/SCJN/Edificio Sede,09/12/21 16:40,13/12/21 11:42,16/12/21 11:42,SCJ
INC 2021-030586,MXB450P,09/12/21 16:05,09/12/21 16:13,,Cerrada,/SCJN/16 de Septiembre,09/12/21 16:33,09/12/21 16:33,12/12/21 16:37,SCJ
REQ 2021-030570,MXB450P,09/12/21 13:58,09/12/21 14:06,,Cerrada,/SCJN/5 de Febrero,09/12/21 14:18,10/12/21 10:28,13/12/21 10:32,SCJ
INC 2021-030559,MXB450P,09/12/21 13:23,09/12/21 13:24,,Cerrada,/SCJN/Edificio Sede,09/12/21 13:27,09/12/21 15:34,12/12/21 15:37,SCJ
REQ 2021-030554,MXB450P,09/12/21 13:09,09/12/21 13:12,,Cerrada,/SCJN/Edificio Sede,09/12/21 14:17,09/12/21 14:17,12/12/21 14:22,SCJ
REQ 2021-030544,MXB450P,09/12/21 12:31,09/12/21 12:35,,Cerrada,/SCJN/Edificio Sede,09/12/21 13:27,09/12/21 13:27,12/12/21 13:27,SCJ
REQ 2021-030520,MXB450P,09/12/21 11:42,09/12/21 11:45,,Cerrada,/SCJN/16 de Septiembre,09/12/21 12:37,09/12/21 12:37,12/12/21 12:37,SCJ
REQ 2021-030508,MXM5071,09/12/21 11:01,09/12/21 11:03,,Cerrada,/SCJN/Edificio Sede,09/12/21 11:38,09/12/21 15:35,12/12/21 15:37,SCJ
REQ 2021-030503,MXB450P,09/12/21 10:46,09/12/21 10:47,,Cerrada,/SCJN/16 de Septiembre,09/12/21 10:59,13/12/21 10:03,16/12/21 10:07,SCJ
REQ 2021-030497,MXB450P,09/12/21 10:24,09/12/21 10:31,,Cerrada,/SCJN/16 de Septiembre,09/12/21 12:24,09/12/21 12:24,12/12/21 12:27,SCJ
REQ 2021-030485,MXB450P,09/12/21 9:48,09/12/21 9:51,,Cerrada,/SCJN/Edificio Sede,09/12/21 10:44,09/12/21 10:44,12/12/21 10:47,SCJ
REQ 2021-030483,MXB450P,09/12/21 9:39,09/12/21 9:43,,Cerrada,/SCJN/Edificio Sede,09/12/21 10:05,09/12/21 15:36,12/12/21 15:37,SCJ
REQ 2021-030477,MXB450P,09/12/21 9:29,09/12/21 9:31,,Cerrada,/SCJN/Edificio Sede,09/12/21 10:40,09/12/21 10:40,12/12/21 10:42,SCJ
REQ 2021-030469,MXM5071,09/12/21 8:56,09/12/21 8:58,,Cerrada,/SCJN/16 de Septiembre,09/12/21 9:14,09/12/21 12:32,12/12/21 12:37,SCJ
REQ 2021-030450,MXB450P,08/12/21 16:49,08/12/21 16:52,,Cerrada,/SCJN/16 de Septiembre,08/12/21 17:27,09/12/21 12:29,12/12/21 12:32,SCJ
REQ 2021-030413,MXB450P,08/12/21 15:44,08/12/21 15:46,,Cerrada,/SCJN/Edificio Sede,08/12/21 16:11,08/12/21 16:11,11/12/21 16:12,SCJ
REQ 2021-030411,MXB450P,08/12/21 15:35,08/12/21 15:37,,Cerrada,/SCJN/5 de Febrero,08/12/21 16:22,09/12/21 10:37,12/12/21 10:42,SCJ
REQ 2021-030398,MXB450P,08/12/21 15:06,08/12/21 15:09,,Cerrada,/SCJN/16 de Septiembre,08/12/21 15:54,08/12/21 15:54,11/12/21 15:57,SCJ
