Código,Modelo,Fecha de registro,Fecha Asignado,Fecha Reasignado,Estado,Localización,Fecha de 1era Respuesta,Fecha firma solución,Fecha firma cierre,Tipo
REQ 2021-029588,MXB450P,02/12/21 14:16,02/12/21 14:19,,Cerrada,/SCJN/Edificio Sede,02/12/21 15:06,02/12/21 15:07,05/12/21 15:07,SCJ
INC 2021-029585,MXB450P,02/12/21 14:07,02/12/21 14:10,,Cerrada,/SCJN/Edificio Sede,02/12/21 15:07,06/12/21 16:32,09/12/21 16:32,SCJ
REQ 2021-029567,MXC304W,02/12/21 13:20,02/12/21 13:22,,Cerrada,/SCJN/Edificio Sede,02/12/21 13:52,03/12/21 17:56,06/12/21 17:57,SCJ
REQ 2021-029557,MXB450P,02/12/21 13:06,02/12/21 13:08,,Cerrada,/SCJN/16 de Septiembre,02/12/21 13:46,02/12/21 13:46,05/12/21 13:47,SCJ
INC 2021-029542,MXB450P,02/12/21 12:52,02/12/21 12:54,,Cerrada,/SCJN/Edificio Sede,02/12/21 14:45,02/12/21 14:45,05/12/21 14:47,SCJ
REQ 2021-029539,MXB450P,02/12/21 12:49,02/12/21 12:51,,Cerrada,/SCJN/Edificio Sede,02/12/21 14:45,02/12/21 14:45,05/12/21 14:47,SCJ
REQ 2021-029530,MXB450P,02/12/21 12:29,02/12/21 12:31,,Cerrada,/SCJN/Edificio Sede,02/12/21 13:45,02/12/21 13:45,05/12/21 13:47,SCJ
REQ 2021-029527,MXB450P,02/12/21 12:23,02/12/21 12:25,,Cerrada,/SCJN/16 de Septiembre,02/12/21 13:07,02/12/21 13:07,05/12/21 13:07,SCJ
INC 2021-029524,MXB450P,02/12/21 12:11,02/12/21 12:14,,Cerrada,/SCJN/16 de Septiembre,02/12/21 12:21,02/12/21 12:21,05/12/21 12:22,SCJ
INC 2021-029518,MXB450P,02/12/21 11:59,02/12/21 12:00,,Cerrada,/SCJN/5 de Febrero,02/12/21 13:19,02/12/21 13:19,05/12/21 13:22,SCJ
REQ 2021-029509,MXB450P,02/12/21 11:29,02/12/21 11:29,,Cerrada,/SCJN/16 de Septiembre,02/12/21 11:52,02/12/21 11:52,05/12/21 11:57,SCJ
REQ 2021-029493,MXB450P,02/12/21 10:50,02/12/21 10:51,,Cerrada,/SCJN/16 de Septiembre,02/12/21 11:29,02/12/21 11:29,05/12/21 11:32,SCJ
INC 2021-029485,MXB450P,02/12/21 10:37,02/12/21 15:28,,Cerrada,/SCJN/16 de Septiembre,02/12/21 15:41,03/12/21 9:26,06/12/21 9:27,SCJ
REQ 2021-029481,MXB450P,02/12/21 10:25,02/12/21 10:27,,Cerrada,/SCJN/Edificio Sede,02/12/21 13:52,03/12/21 17:57,06/12/21 18:02,SCJ
INC 2021-029473,MXB450P,02/12/21 9:47,02/12/21 10:00,,Cerrada,/SCJN/Edificio Sede,02/12/21 13:52,02/12/21 14:46,05/12/21 14:47,SCJ
REQ 2021-029367,MXB450P,01/12/21 13:14,01/12/21 13:17,,Cerrada,/SCJN/Edificio Sede,01/12/21 13:47,01/12/21 13:47,04/12/21 13:52,SCJ
REQ 2021-029335,MXB450P,01/12/21 11:50,01/12/21 11:51,,Cerrada,/SCJN/Edificio Sede,01/12/21 12:52,01/12/21 12:52,04/12/21 12:52,SCJ
INC 2021-029317,MXB450P,01/12/21 11:22,01/12/21 11:24,,Cerrada,/SCJN/Edificio Sede,01/12/21 11:38,01/12/21 11:38,04/12/21 11:42,SCJ
REQ 2021-029316,MXB450P,01/12/21 11:21,01/12/21 11:21,,Cerrada,/SCJN/Edificio Sede,01/12/21 11:46,01/12/21 11:46,04/12/21 11:47,SCJ
INC 2021-029299,MXB450P,01/12/21 10:51,01/12/21 10:53,,Cerrada,/SCJN/Edificio Sede,01/12/21 11:01,01/12/21 12:57,04/12/21 12:57,SCJ
REQ 2021-029292,MXB450P,01/12/21 10:40,01/12/21 10:56,,Cerrada,/SCJN/5 de Febrero,01/12/21 10:59,01/12/21 13:39,04/12/21 13:42,SCJ
REQ 2021-029293,MXB450P,01/12/21 10:39,01/12/21 10:41,,Cerrada,/SCJN/Edificio Sede,01/12/21 11:57,01/12/21 11:57,04/12/21 12:02,SCJ
INC 2021-029289,MXB450P,01/12/21 10:36,01/12/21 10:38,,Cerrada,/SCJN/Edificio Sede,01/12/21 11:37,01/12/21 11:37,04/12/21 11:42,SCJ
REQ 2021-029286,MXB450P,01/12/21 10:35,01/12/21 10:40,,Cerrada,/SCJN/Edificio Sede,01/12/21 12:19,01/12/21 12:20,04/12/21 12:22,SCJ
INC 2021-029278,MXB450P,01/12/21 10:17,01/12/21 10:19,,Cerrada,/SCJN/Edificio Sede,01/12/21 12:15,01/12/21 12:15,04/12/21 12:17,SCJ
REQ 2021-029270,MXB450P,01/12/21 10:02,01/12/21 10:05,,Cerrada,/SCJN/Edificio Sede,01/12/21 10:46,01/12/21 10:46,04/12/21 10:47,SCJ
REQ 2021-029250,MXB450P,01/12/21 8:24,01/12/21 8:28,,Cerrada,/SCJN/Edificio Sede,02/12/21 14:41,02/12/21 14:41,05/12/21 14:42,SCJ
